;Unique;datestamp;Major_last_10_checklistsDR;Score;Label;Sum;X_coordinates;y_coordinates
5;37239567;17.04.2020;0;0,9533649;1;6;0.005136986301369863;0.012396694214876033
13;49742125;14.04.2020;0;0,9078271;0;13;0.011986301369863013;0.026859504132231406
49;42440592;14.04.2020;0;0,85055923;0;45;0.04280821917808219;0.09297520661157024
74;36166194;21.01.2020;0;0,8150752;1;66;0.0642123287671233;0.13636363636363635
99;36070809;11.05.2020;0;0,7872544;1;86;0.08561643835616438;0.17768595041322313
101;49743099;14.04.2020;0;0,7849572;1;88;0.08732876712328767;0.18181818181818182
123;42258339;14.04.2020;0;0,7629252;0;104;0.10616438356164383;0.21487603305785125
138;44510468;04.02.2020;0;0,7501834;1;115;0.1190068493150685;0.23760330578512398
145;38683871;29.01.2020;0;0,74679196;1;121;0.125;0.25
166;49082350;27.02.2020;0;0,7223667;1;139;0.1429794520547945;0.2871900826446281
169;40554826;20.02.2020;0;0,71601766;1;142;0.14554794520547945;0.29338842975206614
175;36017623;24.02.2020;0;0,7097469;0;145;0.1506849315068493;0.29958677685950413
192;49676176;22.11.2019;0;0,6956706;1;156;0.16523972602739725;0.32231404958677684
209;47978982;16.04.2020;0;0,6827446;0;165;0.1797945205479452;0.3409090909090909
211;39697509;10.01.2020;0;0,6818325;0;165;0.1815068493150685;0.3409090909090909
212;36237055;04.03.2020;0;0,6817305;1;166;0.18236301369863014;0.34297520661157027
219;49524683;09.01.2020;0;0,6777788;1;171;0.18835616438356165;0.35330578512396693
223;39681346;09.01.2020;0;0,6760745;1;174;0.1917808219178082;0.359504132231405
228;37125302;28.02.2020;0;0,67116106;1;179;0.19606164383561644;0.36983471074380164
231;37543843;27.02.2020;0;0,6704899;1;182;0.19863013698630136;0.3760330578512397
241;36013108;23.01.2020;0;0,66050845;1;190;0.2071917808219178;0.3925619834710744
252;48095078;22.01.2020;0;0,65142816;1;196;0.2166095890410959;0.4049586776859504
254;36133011;28.02.2020;0;0,6505471;1;198;0.2183219178082192;0.4090909090909091
256;47423055;02.03.2020;0;0,65018827;1;200;0.22003424657534246;0.4132231404958678
262;47977756;28.02.2020;0;0,6470275;1;204;0.22517123287671234;0.4214876033057851
272;36337776;22.01.2020;0;0,64391565;0;211;0.23373287671232876;0.4359504132231405
283;46276878;29.01.2020;0;0,6397373;0;215;0.24315068493150685;0.44421487603305787
289;36017710;19.02.2020;0;0,6371693;1;218;0.2482876712328767;0.45041322314049587
290;36488757;19.02.2020;0;0,6367054;1;219;0.24914383561643835;0.4524793388429752
304;47953211;19.03.2020;0;0,6258331;1;228;0.2611301369863014;0.47107438016528924
331;39146522;28.01.2020;0;0,6095274;1;243;0.2842465753424658;0.5020661157024794
334;38901884;21.02.2020;0;0,60629517;1;246;0.2868150684931507;0.5082644628099173
337;36138321;21.01.2020;0;0,6047488;1;249;0.2893835616438356;0.5144628099173554
354;48263623;15.01.2020;0;0,5950651;1;258;0.3039383561643836;0.5330578512396694
358;49342912;16.03.2020;0;0,5939883;0;259;0.3073630136986301;0.5351239669421488
361;47438581;24.01.2020;0;0,59222764;1;261;0.3099315068493151;0.5392561983471075
370;40438843;19.02.2020;0;0,58846945;0;264;0.3176369863013699;0.5454545454545454
372;36033563;09.01.2020;0;0,586252;1;265;0.3193493150684932;0.5475206611570248
387;47438592;24.01.2020;0;0,5801489;1;273;0.3321917808219178;0.5640495867768595
406;36216213;13.03.2020;0;0,56858957;0;288;0.348458904109589;0.5950413223140496
421;46939242;03.02.2020;0;0,5558445;0;299;0.3613013698630137;0.6177685950413223
438;47072649;26.02.2020;0;0,54686505;0;309;0.3758561643835616;0.6384297520661157
440;37904870;05.02.2020;0;0,54485226;1;310;0.3775684931506849;0.640495867768595
443;38978370;10.03.2020;0;0,54349124;1;312;0.3801369863013699;0.6446280991735537
450;46684004;17.03.2020;0;0,5407364;0;313;0.3861301369863014;0.6466942148760331
470;36059072;22.01.2020;0;0,53059584;1;319;0.4032534246575342;0.6590909090909091
480;36680971;04.03.2020;0;0,5255681;1;325;0.4118150684931507;0.6714876033057852
492;38414377;03.03.2020;0;0,5211359;0;328;0.4220890410958904;0.6776859504132231
503;49001705;23.01.2020;0;0,5138948;1;336;0.4315068493150685;0.6942148760330579
519;45158952;19.02.2020;0;0,50120664;0;342;0.4452054794520548;0.7066115702479339
550;39358138;04.03.2020;0;0,4801763;1;351;0.4717465753424658;0.7252066115702479
573;41445367;05.02.2020;0;0,46708363;1;358;0.4914383561643836;0.7396694214876033
582;49031385;03.02.2020;0;0,4615803;1;362;0.4991438356164384;0.7479338842975206
593;41804425;26.02.2020;0;0,45610628;0;362;0.5085616438356164;0.7479338842975206
