,Unique,datestamp,Score,Label,Sum,X_coordinates,y_coordinates
0,46659692,2020-02-25,0.7466559,1,1,0.000856898029134533,0.0018832391713747645
1,48949489,2020-02-04,0.7149252,1,2,0.001713796058269066,0.003766478342749529
2,37071914,2020-03-10,0.71419877,1,3,0.002570694087403599,0.005649717514124294
3,38789819,2020-02-17,0.71101743,1,4,0.003427592116538132,0.007532956685499058
4,39206837,2020-02-18,0.70713913,1,5,0.004284490145672665,0.009416195856873822
5,36983292,2020-02-25,0.70303285,1,6,0.005141388174807198,0.011299435028248588
6,49221466,2020-01-30,0.69876254,1,7,0.005998286203941731,0.013182674199623353
7,36054636,2020-03-10,0.6953334,1,8,0.006855184233076264,0.015065913370998116
8,36150332,2020-01-28,0.6937171,1,9,0.007712082262210797,0.01694915254237288
9,45757064,2020-02-20,0.6839517,1,10,0.00856898029134533,0.018832391713747645
10,50614182,2020-04-06,0.683913,1,11,0.009425878320479864,0.02071563088512241
11,42440592,2020-04-14,0.68067896,0,11,0.010282776349614395,0.02071563088512241
12,36431417,2020-03-16,0.67628086,1,12,0.011139674378748929,0.022598870056497175
13,37278254,2020-02-11,0.67609787,1,13,0.011996572407883462,0.02448210922787194
14,49336249,2020-03-12,0.6748557,1,14,0.012853470437017995,0.026365348399246705
15,49657944,2020-04-07,0.67333883,1,15,0.013710368466152529,0.02824858757062147
16,36057409,2020-01-31,0.66940594,1,16,0.01456726649528706,0.030131826741996232
17,49336278,2020-03-12,0.6672638,0,16,0.015424164524421594,0.030131826741996232
18,47921068,2020-03-18,0.66593766,1,17,0.016281062553556127,0.032015065913371
19,36963616,2020-02-03,0.6652036,1,18,0.01713796058269066,0.03389830508474576
20,36132996,2020-03-11,0.66446376,1,19,0.017994858611825194,0.035781544256120526
21,47921080,2020-03-18,0.6644304,1,20,0.018851756640959727,0.03766478342749529
22,49155041,2020-04-01,0.66309816,1,21,0.01970865467009426,0.03954802259887006
23,43547939,2020-01-28,0.66155255,1,22,0.02056555269922879,0.04143126177024482
24,36322775,2020-03-06,0.6593818,1,23,0.021422450728363324,0.04331450094161959
25,38258496,2020-01-21,0.65903455,1,24,0.022279348757497857,0.04519774011299435
26,36391326,2020-03-20,0.65878683,1,25,0.02313624678663239,0.047080979284369114
27,36051157,2020-02-21,0.6573456,0,25,0.023993144815766924,0.047080979284369114
28,47972312,2020-02-11,0.65651643,1,26,0.024850042844901457,0.04896421845574388
29,45025773,2020-03-20,0.6564566,0,26,0.02570694087403599,0.04896421845574388
30,36057169,2020-03-16,0.6562249,1,27,0.026563838903170524,0.05084745762711865
31,49517350,2020-04-30,0.6546719,1,28,0.027420736932305057,0.05273069679849341
32,36871791,2020-04-02,0.6542335,1,29,0.028277634961439587,0.054613935969868174
33,36264842,2020-03-31,0.6536564,1,30,0.02913453299057412,0.05649717514124294
34,37239567,2020-04-17,0.65219426,1,31,0.029991431019708654,0.0583804143126177
35,38566813,2020-02-19,0.65123534,1,32,0.030848329048843187,0.060263653483992465
36,36013379,2020-03-11,0.6495413,1,33,0.031705227077977724,0.062146892655367235
37,36246059,2020-01-27,0.6479792,1,34,0.032562125107112254,0.064030131826742
38,45592083,2020-04-09,0.6472068,1,35,0.033419023136246784,0.06591337099811675
39,36071869,2020-02-25,0.64586335,0,35,0.03427592116538132,0.06591337099811675
40,36138321,2020-01-21,0.64509714,1,36,0.03513281919451585,0.06779661016949153
41,42421775,2020-02-17,0.6404957,1,37,0.03598971722365039,0.0696798493408663
42,38490533,2020-02-13,0.6403569,0,37,0.03684661525278492,0.0696798493408663
43,36505197,2020-02-10,0.63919336,1,38,0.037703513281919454,0.07156308851224105
44,36917834,2020-02-03,0.6378448,1,39,0.038560411311053984,0.07344632768361582
45,36166194,2020-01-21,0.63657254,1,40,0.03941730934018852,0.07532956685499058
46,36015021,2020-02-03,0.63503104,0,40,0.04027420736932305,0.07532956685499058
47,36163440,2020-03-03,0.63484037,1,41,0.04113110539845758,0.07721280602636535
48,39316209,2020-02-19,0.63184375,1,42,0.04198800342759212,0.07909604519774012
49,47928316,2020-03-25,0.6312026,1,43,0.04284490145672665,0.08097928436911488
50,36459197,2020-03-20,0.6306045,1,44,0.043701799485861184,0.08286252354048965
51,39080399,2020-01-17,0.6295475,1,45,0.044558697514995714,0.0847457627118644
52,36066751,2020-03-16,0.62942713,1,46,0.04541559554413025,0.08662900188323917
53,49437817,2020-03-23,0.62803924,1,47,0.04627249357326478,0.08851224105461393
54,36438166,2020-03-19,0.627714,1,48,0.04712939160239932,0.0903954802259887
55,36062916,2020-02-24,0.62717324,0,48,0.04798628963153385,0.0903954802259887
56,44919300,2020-02-28,0.62575835,0,48,0.04884318766066838,0.0903954802259887
57,38683871,2020-01-29,0.6251019,1,49,0.049700085689802914,0.09227871939736347
58,36391410,2020-03-12,0.6245018,1,50,0.050556983718937444,0.09416195856873823
59,48194456,2020-01-17,0.6239628,0,50,0.05141388174807198,0.09416195856873823
60,36430892,2020-02-04,0.6231537,0,50,0.05227077977720651,0.09416195856873823
61,36017710,2020-02-19,0.62311804,1,51,0.05312767780634105,0.096045197740113
62,36048807,2020-01-27,0.62233496,1,52,0.05398457583547558,0.09792843691148775
63,36754952,2020-02-11,0.6219525,1,53,0.054841473864610114,0.09981167608286252
64,38548671,2020-04-03,0.62176377,1,54,0.055698371893744644,0.1016949152542373
65,36374565,2019-12-17,0.62166023,1,55,0.056555269922879174,0.10357815442561205
66,36940895,2020-04-02,0.6215997,1,56,0.05741216795201371,0.10546139359698682
67,44510468,2020-02-04,0.62076145,1,57,0.05826906598114824,0.10734463276836158
68,48154737,2020-01-20,0.6204036,1,58,0.05912596401028278,0.10922787193973635
69,49059109,2020-02-28,0.619205,1,59,0.05998286203941731,0.1111111111111111
70,36051217,2020-03-25,0.61799294,1,60,0.060839760068551844,0.11299435028248588
71,36070809,2020-05-11,0.61672866,1,61,0.061696658097686374,0.11487758945386065
72,46915359,2020-02-03,0.6166408,1,62,0.06255355612682091,0.1167608286252354
73,37440767,2020-04-09,0.616594,1,63,0.06341045415595545,0.11864406779661017
74,40446323,2020-03-31,0.61640435,1,64,0.06426735218508997,0.12052730696798493
75,36168926,2020-03-20,0.61594963,0,64,0.06512425021422451,0.12052730696798493
76,36055220,2020-03-18,0.61356276,1,65,0.06598114824335904,0.1224105461393597
77,49041125,2020-01-28,0.6128393,1,66,0.06683804627249357,0.12429378531073447
78,36458616,2020-02-28,0.6120396,1,67,0.0676949443016281,0.12617702448210924
79,39914388,2020-02-19,0.61193925,1,68,0.06855184233076264,0.128060263653484
80,36019741,2020-03-13,0.61151826,1,69,0.06940874035989718,0.12994350282485875
81,48601831,2020-03-04,0.6113239,1,70,0.0702656383890317,0.1318267419962335
82,36737643,2020-02-21,0.61104065,1,71,0.07112253641816624,0.1337099811676083
83,36021017,2020-02-11,0.61067903,1,72,0.07197943444730077,0.13559322033898305
84,48645512,2020-03-30,0.60897756,1,73,0.0728363324764353,0.1374764595103578
85,36265421,2020-02-20,0.6084529,1,74,0.07369323050556983,0.1393596986817326
86,49117534,2020-01-28,0.60829735,1,75,0.07455012853470437,0.14124293785310735
87,47436660,2020-01-31,0.6075957,1,76,0.07540702656383891,0.1431261770244821
88,36008991,2020-01-29,0.60729086,1,77,0.07626392459297343,0.14500941619585686
89,36252008,2020-01-24,0.60674584,1,78,0.07712082262210797,0.14689265536723164
90,36347170,2020-02-27,0.6065792,1,79,0.0779777206512425,0.1487758945386064
91,36550908,2020-02-20,0.60618657,0,79,0.07883461868037704,0.1487758945386064
92,47713242,2020-02-03,0.60587114,1,80,0.07969151670951156,0.15065913370998116
93,48264260,2020-02-11,0.6056105,1,81,0.0805484147386461,0.15254237288135594
94,40554826,2020-02-20,0.6052448,1,82,0.08140531276778064,0.1544256120527307
95,47162690,2020-03-03,0.60436344,1,83,0.08226221079691516,0.15630885122410546
96,49907902,2020-03-17,0.60387915,0,83,0.0831191088260497,0.15630885122410546
97,50555061,2020-03-26,0.6033462,1,84,0.08397600685518423,0.15819209039548024
98,36064054,2020-03-03,0.6029951,1,85,0.08483290488431877,0.160075329566855
99,44635432,2020-03-19,0.6024926,1,86,0.0856898029134533,0.16195856873822975
100,36011782,2020-03-30,0.60244673,1,87,0.08654670094258783,0.1638418079096045
101,48985463,2020-04-01,0.60066295,1,88,0.08740359897172237,0.1657250470809793
102,44776012,2020-03-12,0.60065734,1,89,0.08826049700085689,0.16760828625235405
103,49388874,2019-12-06,0.60021555,0,89,0.08911739502999143,0.16760828625235405
104,48216247,2020-04-03,0.59998375,1,90,0.08997429305912596,0.1694915254237288
105,46952987,2020-02-03,0.5992997,1,91,0.0908311910882605,0.1713747645951036
106,50215661,2020-02-11,0.5990997,1,92,0.09168808911739502,0.17325800376647835
107,48214791,2020-02-11,0.5987446,1,93,0.09254498714652956,0.1751412429378531
108,49088311,2020-02-03,0.59850615,1,94,0.0934018851756641,0.17702448210922786
109,36637951,2020-01-21,0.5979349,1,95,0.09425878320479864,0.17890772128060264
110,36074979,2020-02-20,0.5975148,1,96,0.09511568123393316,0.1807909604519774
111,36018318,2020-03-10,0.597258,1,97,0.0959725792630677,0.18267419962335216
112,49917359,2020-03-27,0.5971864,1,98,0.09682947729220223,0.18455743879472694
113,36017282,2020-01-22,0.5970466,0,98,0.09768637532133675,0.18455743879472694
114,49380288,2020-03-19,0.59666806,1,99,0.09854327335047129,0.1864406779661017
115,40195904,2020-02-03,0.596624,1,100,0.09940017137960583,0.18832391713747645
116,45159607,2020-03-25,0.5959155,0,100,0.10025706940874037,0.18832391713747645
117,49907948,2020-03-23,0.59548205,0,100,0.10111396743787489,0.18832391713747645
118,49615013,2020-03-12,0.59407556,1,101,0.10197086546700942,0.1902071563088512
119,49379093,2020-03-25,0.59364057,1,102,0.10282776349614396,0.192090395480226
120,36003896,2020-02-27,0.59330034,0,102,0.1036846615252785,0.192090395480226
121,37543843,2020-02-27,0.59327614,1,103,0.10454155955441302,0.19397363465160075
122,46267367,2020-03-05,0.5922589,1,104,0.10539845758354756,0.1958568738229755
123,48087439,2020-01-02,0.59213334,1,105,0.1062553556126821,0.1977401129943503
124,36200521,2019-12-31,0.59107107,0,105,0.10711225364181662,0.1977401129943503
125,36079347,2019-12-17,0.59015495,1,106,0.10796915167095116,0.19962335216572505
126,36540148,2020-02-03,0.59005487,1,107,0.10882604970008569,0.2015065913370998
127,36459993,2020-01-24,0.5899414,1,108,0.10968294772922023,0.2033898305084746
128,45603889,2020-02-20,0.5892825,1,109,0.11053984575835475,0.20527306967984935
129,36064802,2020-02-25,0.58913267,0,109,0.11139674378748929,0.20527306967984935
130,39146522,2020-01-28,0.5891146,1,110,0.11225364181662383,0.2071563088512241
131,48102908,2020-02-03,0.5889894,1,111,0.11311053984575835,0.20903954802259886
132,48614914,2020-01-31,0.58889353,1,112,0.11396743787489289,0.21092278719397364
133,49082350,2020-02-27,0.58878756,1,113,0.11482433590402742,0.2128060263653484
134,49341829,2020-02-19,0.5878094,1,114,0.11568123393316196,0.21468926553672316
135,36015559,2020-02-12,0.58745027,1,115,0.11653813196229648,0.21657250470809794
136,38412754,2020-03-11,0.58703834,1,116,0.11739502999143102,0.2184557438794727
137,36337776,2020-01-22,0.586994,0,116,0.11825192802056556,0.2184557438794727
138,36482966,2020-03-11,0.5868321,1,117,0.11910882604970009,0.22033898305084745
139,49044518,2020-02-27,0.5864701,0,117,0.11996572407883462,0.22033898305084745
140,36540811,2020-02-13,0.58585334,1,118,0.12082262210796915,0.2222222222222222
141,38764303,2020-03-06,0.5858348,0,118,0.12167952013710369,0.2222222222222222
142,37951844,2020-03-19,0.58563596,1,119,0.12253641816623821,0.224105461393597
143,36023078,2020-02-20,0.58558726,0,119,0.12339331619537275,0.224105461393597
144,36912480,2020-03-02,0.5854654,0,119,0.12425021422450729,0.224105461393597
145,47918903,2020-04-06,0.5854063,1,120,0.12510711225364182,0.22598870056497175
146,49341151,2020-03-10,0.5849271,1,121,0.12596401028277635,0.2278719397363465
147,39734037,2020-02-07,0.58391047,1,122,0.1268209083119109,0.2297551789077213
148,36237055,2020-03-04,0.5833348,1,123,0.12767780634104542,0.23163841807909605
149,36014746,2020-03-23,0.5833229,1,124,0.12853470437017994,0.2335216572504708
150,36014145,2020-02-13,0.5832754,0,124,0.1293916023993145,0.2335216572504708
151,37241634,2020-02-17,0.58242774,1,125,0.13024850042844902,0.23540489642184556
152,47722168,2020-01-02,0.5821731,0,125,0.13110539845758354,0.23540489642184556
153,36065787,2020-02-04,0.5818512,1,126,0.1319622964867181,0.23728813559322035
154,36060985,2020-03-19,0.5811379,1,127,0.1328191945158526,0.2391713747645951
155,37268798,2020-01-14,0.58110213,0,127,0.13367609254498714,0.2391713747645951
156,39313600,2020-02-05,0.58057517,1,128,0.13453299057412169,0.24105461393596986
157,36017970,2020-02-10,0.5802386,1,129,0.1353898886032562,0.24293785310734464
