,Unique,datestamp,Score,Label,Sum,X_coordinates,y_coordinates
0,36254281,2020-01-07,0.5852644915575087,1,1,0.0006775067750677507,0.0021551724137931034
1,48202997,2020-04-06,0.5822978114974027,1,2,0.0013550135501355014,0.004310344827586207
2,36265209,2019-12-31,0.5804477134207384,1,3,0.0020325203252032522,0.00646551724137931
3,36006587,2020-03-23,0.5801393215555448,1,4,0.0027100271002710027,0.008620689655172414
4,38717532,2020-03-06,0.5767057076723906,1,5,0.0033875338753387536,0.010775862068965518
5,45835842,2020-02-04,0.5761591137016071,0,5,0.0040650406504065045,0.010775862068965518
6,36321564,2020-03-24,0.5753247819024753,1,6,0.0047425474254742545,0.01293103448275862
7,45987798,2019-12-17,0.5746345931670452,0,6,0.005420054200542005,0.01293103448275862
8,36020075,2019-11-04,0.5715161679207769,0,6,0.006097560975609756,0.01293103448275862
9,36076185,2019-11-22,0.5709712267000717,1,7,0.006775067750677507,0.015086206896551725
10,36458616,2020-06-01,0.570596346786069,1,8,0.007452574525745257,0.017241379310344827
11,49169716,2020-02-14,0.5695271901715516,1,9,0.008130081300813009,0.01939655172413793
12,48102908,2020-03-16,0.5693292695596787,1,10,0.008807588075880758,0.021551724137931036
13,37266100,2020-03-16,0.5691703508782324,1,11,0.009485094850948509,0.023706896551724137
14,36136558,2020-03-30,0.5686941327286273,0,11,0.01016260162601626,0.023706896551724137
15,38790513,2020-01-23,0.5683732343724238,0,11,0.01084010840108401,0.023706896551724137
16,49686283,2020-04-07,0.5683477021747052,0,11,0.011517615176151762,0.023706896551724137
17,36153023,2020-03-18,0.5682693636477887,1,12,0.012195121951219513,0.02586206896551724
18,48259641,2020-01-22,0.5682637113450648,1,13,0.012872628726287264,0.028017241379310345
19,48507511,2020-05-06,0.5680186133074774,1,14,0.013550135501355014,0.03017241379310345
20,36000389,2020-05-22,0.5678418617120518,0,14,0.014227642276422764,0.03017241379310345
21,36267311,2020-04-09,0.5672691547839481,1,15,0.014905149051490514,0.032327586206896554
22,37543079,2020-01-31,0.5672415604635241,1,16,0.015582655826558265,0.034482758620689655
23,49072400,2020-01-24,0.567073813862727,1,17,0.016260162601626018,0.036637931034482756
24,49019569,2020-03-17,0.5658809599621157,0,17,0.016937669376693765,0.036637931034482756
25,36113695,2020-03-31,0.5657082781174976,0,17,0.017615176151761516,0.036637931034482756
26,36021186,2020-05-28,0.5656577185427651,1,18,0.018292682926829267,0.03879310344827586
27,41827564,2020-04-09,0.5655413408515789,1,19,0.018970189701897018,0.040948275862068964
28,36011782,2020-05-27,0.5650975717219302,1,20,0.01964769647696477,0.04310344827586207
29,36064510,2020-02-11,0.5650576543390824,1,21,0.02032520325203252,0.04525862068965517
30,36078959,2020-03-24,0.5648097837530601,1,22,0.02100271002710027,0.04741379310344827
31,36022205,2020-03-30,0.5646742466090805,1,23,0.02168021680216802,0.04956896551724138
32,48487362,2020-05-12,0.5645371002387904,0,23,0.022357723577235773,0.04956896551724138
33,36020142,2020-03-30,0.5638884857251497,1,24,0.023035230352303523,0.05172413793103448
34,36029142,2020-03-16,0.5638678564146654,1,25,0.023712737127371274,0.05387931034482758
35,48658687,2019-12-20,0.5636340134286888,0,25,0.024390243902439025,0.05387931034482758
36,40049216,2020-05-18,0.5629152426171926,1,26,0.025067750677506776,0.05603448275862069
37,48031755,2020-01-16,0.5628542181694527,0,26,0.025745257452574527,0.05603448275862069
38,36056970,2019-11-29,0.5627710914341919,1,27,0.026422764227642278,0.05818965517241379
39,36132978,2019-12-24,0.5624872444162566,1,28,0.02710027100271003,0.0603448275862069
40,42421775,2020-03-31,0.5624433742101625,1,29,0.027777777777777776,0.0625
41,48259646,2020-06-02,0.5622481537217345,1,30,0.028455284552845527,0.06465517241379311
42,38123707,2020-02-04,0.5622334901121988,0,30,0.029132791327913278,0.06465517241379311
43,36139699,2020-03-26,0.5614387377628322,1,31,0.02981029810298103,0.0668103448275862
44,36267161,2019-12-20,0.561127230077902,1,32,0.03048780487804878,0.06896551724137931
45,38115528,2020-01-08,0.561066706483982,1,33,0.03116531165311653,0.07112068965517242
46,36013108,2020-03-20,0.5603794948982049,1,34,0.03184281842818428,0.07327586206896551
47,36017684,2020-03-12,0.5602476296011631,1,35,0.032520325203252036,0.07543103448275862
48,36057409,2020-05-19,0.5596824743465103,1,36,0.03319783197831978,0.07758620689655173
49,36149589,2020-06-03,0.5594488133307893,0,36,0.03387533875338753,0.07758620689655173
50,41263165,2020-06-04,0.5593802235773154,0,36,0.034552845528455285,0.07758620689655173
51,46914107,2019-12-31,0.5583387544543453,1,37,0.03523035230352303,0.07974137931034483
52,36045347,2020-01-02,0.558292676907567,1,38,0.03590785907859079,0.08189655172413793
53,49065696,2020-05-08,0.5579579695571002,1,39,0.036585365853658534,0.08405172413793104
54,39206837,2020-05-04,0.5578797982310149,0,39,0.03726287262872629,0.08405172413793104
55,37024871,2020-04-21,0.5577565442848812,1,40,0.037940379403794036,0.08620689655172414
56,47972312,2020-05-29,0.5577427587591902,1,41,0.03861788617886179,0.08836206896551724
57,36392443,2020-02-03,0.5577150447766084,0,41,0.03929539295392954,0.08836206896551724
58,38258868,2020-02-06,0.5575896746631149,1,42,0.03997289972899729,0.09051724137931035
59,36963616,2020-02-07,0.5575532556247668,0,42,0.04065040650406504,0.09051724137931035
60,44433025,2020-02-28,0.557216104174394,1,43,0.041327913279132794,0.09267241379310345
61,49341829,2020-04-16,0.5571992228656489,0,43,0.04200542005420054,0.09267241379310345
62,36404218,2020-05-28,0.5571908421939966,1,44,0.042682926829268296,0.09482758620689655
63,39914388,2020-05-08,0.5568901115202818,1,45,0.04336043360433604,0.09698275862068965
64,36440229,2019-11-15,0.5563355986613521,1,46,0.04403794037940379,0.09913793103448276
65,47304997,2019-12-20,0.5562079865498742,1,47,0.044715447154471545,0.10129310344827586
