,Unique,datestamp,Score,Label,Sum,X_coordinates,y_coordinates
0,36254281,2020-01-07,0.6573739893959891,1,1,0.000676132521974307,0.0031645569620253164
1,37543079,2020-01-31,0.6465386479271218,0,1,0.001352265043948614,0.0031645569620253164
2,36265209,2019-12-31,0.641371720942159,1,2,0.002028397565922921,0.006329113924050633
3,47972312,2020-05-29,0.6353359862955013,1,3,0.002704530087897228,0.00949367088607595
4,36011782,2020-05-27,0.6352094875721643,1,4,0.0033806626098715348,0.012658227848101266
5,36267161,2019-12-20,0.6348094432963873,1,5,0.004056795131845842,0.015822784810126583
6,36321564,2020-03-24,0.6347593720871653,1,6,0.004732927653820149,0.0189873417721519
7,49203334,2020-05-28,0.6338436245460644,1,7,0.005409060175794456,0.022151898734177215
8,36020142,2020-03-30,0.6330386944673203,1,8,0.006085192697768763,0.02531645569620253
9,36022205,2020-03-30,0.6323035136824254,1,9,0.0067613252197430695,0.028481012658227847
10,36149589,2020-06-03,0.6315536733404519,0,9,0.0074374577417173765,0.028481012658227847
11,48102908,2020-03-16,0.6299385713197919,1,10,0.008113590263691683,0.03164556962025317
12,49714788,2020-06-04,0.6280283619579292,1,11,0.00878972278566599,0.03481012658227848
13,48031755,2020-01-16,0.6273271137366286,1,12,0.009465855307640297,0.0379746835443038
14,48507511,2020-05-06,0.625125794740692,0,12,0.010141987829614604,0.0379746835443038
15,36076185,2019-11-22,0.6245273695849124,0,12,0.010818120351588911,0.0379746835443038
16,36153023,2020-03-18,0.6229644314727658,1,13,0.011494252873563218,0.04113924050632911
17,37266100,2020-03-16,0.622209641703542,0,13,0.012170385395537525,0.04113924050632911
18,36310722,2020-05-07,0.6217754642685598,1,14,0.012846517917511832,0.04430379746835443
19,36136558,2020-03-30,0.6214809304040971,1,15,0.013522650439486139,0.04746835443037975
20,40049216,2020-05-18,0.6197758303126311,0,15,0.014198782961460446,0.04746835443037975
21,36267311,2020-04-09,0.6191610325015717,1,16,0.014874915483434753,0.05063291139240506
22,48763510,2020-05-11,0.6167122724341711,1,17,0.01555104800540906,0.05379746835443038
23,36029142,2020-03-16,0.6166145004671456,1,18,0.016227180527383367,0.056962025316455694
24,36057409,2020-05-19,0.6157776416832452,1,19,0.016903313049357674,0.060126582278481014
25,36392443,2020-02-03,0.6154345026104889,0,19,0.01757944557133198,0.060126582278481014
26,36018780,2020-01-13,0.6143699356240315,1,20,0.018255578093306288,0.06329113924050633
27,36166194,2020-05-15,0.6137591956635042,0,20,0.018931710615280595,0.06329113924050633
28,36132978,2019-12-24,0.6129876597065541,1,21,0.0196078431372549,0.06645569620253164
29,44330105,2020-02-03,0.6128942866711795,0,21,0.02028397565922921,0.06645569620253164
30,37024871,2020-04-21,0.6126225163380746,1,22,0.020960108181203516,0.06962025316455696
31,49388874,2020-04-24,0.6122907662825102,0,22,0.021636240703177823,0.06962025316455696
32,49564991,2020-02-28,0.6121973942845772,0,22,0.02231237322515213,0.06962025316455696
33,36020771,2020-05-25,0.6113936787171503,0,22,0.022988505747126436,0.06962025316455696
34,36021186,2020-05-28,0.611355241242682,1,23,0.023664638269100743,0.07278481012658228
35,36459197,2020-05-25,0.6113177930820035,0,23,0.02434077079107505,0.07278481012658228
36,37268798,2020-05-26,0.6109867446266336,0,23,0.025016903313049357,0.07278481012658228
37,36073512,2020-05-07,0.6099893041839525,1,24,0.025693035835023664,0.0759493670886076
38,36064510,2020-02-11,0.6090368380290286,1,25,0.02636916835699797,0.07911392405063292
39,36013108,2020-03-20,0.6085355389968787,1,26,0.027045300878972278,0.08227848101265822
40,48202997,2020-04-06,0.6085019752485115,0,26,0.027721433400946585,0.08227848101265822
41,48658687,2019-12-20,0.6077712223928897,0,26,0.028397565922920892,0.08227848101265822
42,49396926,2020-02-05,0.6075430094304612,1,27,0.0290736984448952,0.08544303797468354
43,36056970,2019-11-29,0.6074709440326668,1,28,0.029749830966869506,0.08860759493670886
44,36214466,2020-05-04,0.6061891657223994,0,28,0.030425963488843813,0.08860759493670886
45,36064054,2020-05-12,0.6052782958258617,0,28,0.03110209601081812,0.08860759493670886
46,36140220,2020-01-08,0.6052661500220888,1,29,0.03177822853279243,0.09177215189873418
47,36006587,2020-03-23,0.6048612423126126,0,29,0.032454361054766734,0.09177215189873418
48,47780230,2020-06-01,0.6046723315155248,0,29,0.03313049357674104,0.09177215189873418
49,50187906,2020-05-13,0.6046506893213991,1,30,0.03380662609871535,0.0949367088607595
50,44635432,2020-05-18,0.6042530117570651,0,30,0.034482758620689655,0.0949367088607595
51,44433025,2020-02-28,0.6027874610993863,1,31,0.03515889114266396,0.0981012658227848
52,36008982,2020-04-15,0.602202294736921,1,32,0.03583502366463827,0.10126582278481013
53,49019569,2020-03-17,0.6021938622576367,0,32,0.036511156186612576,0.10126582278481013
54,41263165,2020-06-04,0.6014122451821479,0,32,0.03718728870858688,0.10126582278481013
55,36963616,2020-02-07,0.6009280569163153,0,32,0.03786342123056119,0.10126582278481013
56,38860656,2020-02-20,0.6007864222613557,1,33,0.038539553752535496,0.10443037974683544
57,36404218,2020-05-28,0.6007511837907207,0,33,0.0392156862745098,0.10443037974683544
58,36475227,2019-11-27,0.600541929504181,1,34,0.03989181879648411,0.10759493670886076
59,39358138,2020-03-20,0.6004725742099047,1,35,0.04056795131845842,0.11075949367088607
60,36000389,2020-05-22,0.6003027086645262,0,35,0.041244083840432724,0.11075949367088607
61,36551202,2020-05-15,0.5998788710871863,1,36,0.04192021636240703,0.11392405063291139
62,36983292,2020-04-29,0.5997148757681727,1,37,0.04259634888438134,0.11708860759493671
63,36455075,2020-02-05,0.5996754723462145,1,38,0.043272481406355645,0.12025316455696203
64,48524365,2020-05-19,0.5993460563500375,1,39,0.04394861392832995,0.12341772151898735
65,36024802,2020-04-28,0.5992632045063476,0,39,0.04462474645030426,0.12341772151898735
66,38123707,2020-02-04,0.599257275773657,1,40,0.045300878972278566,0.12658227848101267
67,36258253,2020-03-19,0.5989616917540862,0,40,0.04597701149425287,0.12658227848101267
68,38717532,2020-03-06,0.5984306124330863,1,41,0.04665314401622718,0.12974683544303797
69,36141161,2020-05-20,0.5983321706959932,1,42,0.04732927653820149,0.13291139240506328
70,49020314,2020-05-26,0.5962302232354444,0,42,0.048005409060175794,0.13291139240506328
71,45987798,2019-12-17,0.5961407731314821,0,42,0.0486815415821501,0.13291139240506328
72,47754754,2019-12-03,0.5960751707087365,0,42,0.04935767410412441,0.13291139240506328
73,37280651,2020-05-20,0.5952831987875337,1,43,0.050033806626098715,0.1360759493670886
74,38115528,2020-01-08,0.5952066712991825,0,43,0.05070993914807302,0.1360759493670886
75,48259646,2020-06-02,0.595130383807121,1,44,0.05138607167004733,0.13924050632911392
76,48214807,2020-05-28,0.595050700164212,0,44,0.052062204192021636,0.13924050632911392
77,48964869,2019-12-18,0.5944218785551061,1,45,0.05273833671399594,0.14240506329113925
78,42893560,2020-02-11,0.5942842417953386,0,45,0.05341446923597025,0.14240506329113925
79,37262861,2020-04-06,0.594218515362825,0,45,0.054090601757944556,0.14240506329113925
