,Unique,datestamp,Score,Label,Sum,X_coordinates,y_coordinates
0,36152052,2019-12-10,0.78058594,0,0,0.0006775067750677507,0.0
1,36254281,2020-01-07,0.77979124,1,1,0.0013550135501355014,0.0021551724137931034
2,37280651,2020-05-20,0.7787961,0,1,0.0020325203252032522,0.0021551724137931034
3,38296324,2020-01-09,0.77837855,1,2,0.0027100271002710027,0.004310344827586207
4,36076185,2019-11-22,0.7756357,1,3,0.0033875338753387536,0.00646551724137931
5,36369297,2020-04-23,0.7727677,1,4,0.0040650406504065045,0.008620689655172414
6,39734037,2020-05-15,0.77109456,1,5,0.0047425474254742545,0.010775862068965518
7,36440229,2019-11-15,0.7708542,1,6,0.005420054200542005,0.01293103448275862
8,36265209,2019-12-31,0.7690963,1,7,0.006097560975609756,0.015086206896551725
9,24008505,2020-04-29,0.7615597,1,8,0.006775067750677507,0.017241379310344827
10,36132978,2019-12-24,0.7596126,1,9,0.007452574525745257,0.01939655172413793
11,43547939,2020-03-12,0.7585445,1,10,0.008130081300813009,0.021551724137931036
12,38717532,2020-03-06,0.75712794,1,11,0.008807588075880758,0.023706896551724137
13,36006587,2020-03-23,0.75620866,1,12,0.009485094850948509,0.02586206896551724
14,36047883,2020-03-19,0.7511004,0,12,0.01016260162601626,0.02586206896551724
15,36022205,2020-03-30,0.7506586,1,13,0.01084010840108401,0.028017241379310345
16,36337776,2020-03-11,0.7469338,0,13,0.011517615176151762,0.028017241379310345
17,36013108,2020-03-20,0.74595535,1,14,0.012195121951219513,0.03017241379310345
18,37543079,2020-01-31,0.74460506,1,15,0.012872628726287264,0.032327586206896554
19,45987798,2019-12-17,0.74351674,0,15,0.013550135501355014,0.032327586206896554
20,49203334,2020-05-28,0.74115336,1,16,0.014227642276422764,0.034482758620689655
21,36141161,2020-05-20,0.74073607,1,17,0.014905149051490514,0.036637931034482756
22,36060731,2020-05-28,0.7397087,1,18,0.015582655826558265,0.03879310344827586
23,36392443,2020-02-03,0.73951477,0,18,0.016260162601626018,0.03879310344827586
24,48202997,2020-04-06,0.7392436,1,19,0.016937669376693765,0.040948275862068964
25,36267161,2019-12-20,0.73765224,1,20,0.017615176151761516,0.04310344827586207
26,36195114,2020-03-25,0.735952,1,21,0.018292682926829267,0.04525862068965517
27,48102908,2020-03-16,0.7348114,1,22,0.018970189701897018,0.04741379310344827
28,36447798,2020-05-13,0.73292255,1,23,0.01964769647696477,0.04956896551724138
29,36056970,2019-11-29,0.7317449,1,24,0.02032520325203252,0.05172413793103448
30,36141264,2020-05-21,0.73153394,0,24,0.02100271002710027,0.05172413793103448
31,48487362,2020-05-12,0.73103875,0,24,0.02168021680216802,0.05172413793103448
32,37277931,2020-05-13,0.7309722,0,24,0.022357723577235773,0.05172413793103448
33,36024802,2020-04-28,0.72998667,1,25,0.023035230352303523,0.05387931034482758
