,Unique,datestamp,Score,Label,Sum,X_coordinates,y_coordinates
0,36486886,2020-06-01,0.90683466,0,0,0.0006887052341597796,0.0
1,47261699,2020-05-21,0.8944638,0,0,0.0013774104683195593,0.0
2,36419748,2020-01-03,0.89414173,0,0,0.002066115702479339,0.0
3,47091308,2020-04-03,0.8881576,0,0,0.0027548209366391185,0.0
4,36031258,2020-03-31,0.88376945,0,0,0.003443526170798898,0.0
5,36376975,2020-04-09,0.8813236,1,1,0.004132231404958678,0.020833333333333332
6,48549058,2020-05-13,0.8738877,0,1,0.0048209366391184574,0.020833333333333332
7,36064384,2020-01-21,0.87069875,1,2,0.005509641873278237,0.041666666666666664
8,37088039,2020-03-24,0.86941016,0,2,0.006198347107438017,0.041666666666666664
9,36140140,2020-02-19,0.86345494,0,2,0.006887052341597796,0.041666666666666664
10,44508306,2020-03-27,0.8610214,1,3,0.007575757575757576,0.0625
11,49071259,2020-01-29,0.85627043,0,3,0.008264462809917356,0.0625
12,49088362,2020-06-02,0.85213035,0,3,0.008953168044077135,0.0625
13,44601107,2020-02-26,0.8518389,1,4,0.009641873278236915,0.08333333333333333
14,49088414,2020-06-03,0.8516998,1,5,0.010330578512396695,0.10416666666666667
15,36264395,2020-03-12,0.85168403,0,5,0.011019283746556474,0.10416666666666667
16,48520191,2020-05-19,0.84648764,0,5,0.011707988980716254,0.10416666666666667
17,36040173,2020-02-26,0.84563273,0,5,0.012396694214876033,0.10416666666666667
18,37016526,2020-03-10,0.84194076,0,5,0.013085399449035813,0.10416666666666667
19,36551619,2020-04-27,0.8416811,0,5,0.013774104683195593,0.10416666666666667
20,39682522,2020-04-21,0.8394149,1,6,0.014462809917355372,0.125
21,37264138,2020-03-02,0.8339237,0,6,0.015151515151515152,0.125
22,43284555,2020-05-22,0.82767886,0,6,0.01584022038567493,0.125
23,36537991,2020-05-05,0.8255236,0,6,0.01652892561983471,0.125
24,36076653,2020-02-21,0.8221763,0,6,0.01721763085399449,0.125
25,36637951,2020-02-14,0.8213273,0,6,0.01790633608815427,0.125
26,48259642,2020-06-05,0.8197574,0,6,0.01859504132231405,0.125
27,49564991,2020-02-28,0.8066267,1,7,0.01928374655647383,0.14583333333333334
28,36369297,2020-04-23,0.8020737,1,8,0.01997245179063361,0.16666666666666666
29,36237631,2020-05-12,0.80193436,0,8,0.02066115702479339,0.16666666666666666
30,36163440,2020-04-27,0.79806846,0,8,0.02134986225895317,0.16666666666666666
31,49297294,2020-01-15,0.796066,0,8,0.02203856749311295,0.16666666666666666
32,36002382,2020-03-23,0.7957226,1,9,0.022727272727272728,0.1875
33,47371334,2020-01-23,0.792104,0,9,0.023415977961432508,0.1875
34,47865336,2020-06-01,0.7901219,1,10,0.024104683195592287,0.20833333333333334
35,36041251,2020-04-14,0.78747535,0,10,0.024793388429752067,0.20833333333333334
36,36017960,2020-02-24,0.7867085,0,10,0.025482093663911846,0.20833333333333334
37,36737643,2020-05-28,0.7834254,0,10,0.026170798898071626,0.20833333333333334
38,47109898,2020-03-19,0.78262675,0,10,0.026859504132231406,0.20833333333333334
39,49125931,2020-02-28,0.78040814,1,11,0.027548209366391185,0.22916666666666666
40,39681346,2020-01-28,0.7794994,0,11,0.028236914600550965,0.22916666666666666
41,36051157,2020-03-03,0.7788663,0,11,0.028925619834710745,0.22916666666666666
42,36407961,2020-05-04,0.7753128,1,12,0.029614325068870524,0.25
43,38683871,2020-03-17,0.7731409,0,12,0.030303030303030304,0.25
44,38072930,2020-03-02,0.7701136,0,12,0.030991735537190084,0.25
45,36320494,2020-04-08,0.7688728,0,12,0.03168044077134986,0.25
46,37278254,2020-05-15,0.76815814,0,12,0.03236914600550964,0.25
47,39703660,2020-03-03,0.7645677,0,12,0.03305785123966942,0.25
48,36029867,2020-03-12,0.76080287,0,12,0.0337465564738292,0.25
49,36008133,2020-06-01,0.7568626,0,12,0.03443526170798898,0.25
50,36133023,2020-03-24,0.7566426,0,12,0.03512396694214876,0.25
51,36280536,2020-01-07,0.7539862,0,12,0.03581267217630854,0.25
52,37024871,2020-04-21,0.752875,0,12,0.03650137741046832,0.25
53,39697509,2020-01-30,0.75223076,0,12,0.0371900826446281,0.25
54,47110509,2019-08-13,0.7517363,0,12,0.03787878787878788,0.25
55,38250828,2020-01-20,0.7517264,0,12,0.03856749311294766,0.25
56,49021953,2020-01-29,0.7515358,0,12,0.03925619834710744,0.25
