,Unique,datestamp,Score,Label,Sum,X_coordinates,y_coordinates
0,49714788,2020-06-04,-0.4705293168266252,1,1,0.0006887052341597796,0.011494252873563218
1,36219959,2020-02-21,-0.5649475600076495,1,2,0.0013774104683195593,0.022988505747126436
2,46914124,2020-06-01,-0.5693831946743547,1,3,0.002066115702479339,0.034482758620689655
3,36828499,2020-04-29,-0.5940519731551905,1,4,0.0027548209366391185,0.04597701149425287
4,36076185,2019-11-22,-0.5945943896645038,0,4,0.003443526170798898,0.04597701149425287
5,36440229,2019-11-15,-0.6312399290923634,1,5,0.004132231404958678,0.05747126436781609
6,36000389,2020-05-22,-0.6998114023803107,0,5,0.0048209366391184574,0.05747126436781609
7,36195114,2020-03-25,-0.7179526733346465,1,6,0.005509641873278237,0.06896551724137931
8,36310722,2020-05-07,-0.73979948738266,0,6,0.006198347107438017,0.06896551724137931
9,38821209,2020-02-13,-0.7621370606398135,1,7,0.006887052341597796,0.08045977011494253
10,48084854,2020-04-10,-0.8485131875881984,1,8,0.007575757575757576,0.09195402298850575
11,36152052,2019-12-10,-0.8835047314661968,0,8,0.008264462809917356,0.09195402298850575
12,36153705,2020-03-02,-0.9096102081991421,0,8,0.008953168044077135,0.09195402298850575
13,44838298,2020-03-03,-0.9440006734137905,1,9,0.009641873278236915,0.10344827586206896
14,36070026,2019-10-04,-0.9467322483006784,0,9,0.010330578512396695,0.10344827586206896
15,36148024,2020-03-27,-0.9626941774638743,1,10,0.011019283746556474,0.11494252873563218
16,38414377,2020-05-15,-1.020269585152541,1,11,0.011707988980716254,0.12643678160919541
17,45491179,2020-04-16,-1.0612765587296997,0,11,0.012396694214876033,0.12643678160919541
18,47645814,2020-03-25,-1.06986346268547,0,11,0.013085399449035813,0.12643678160919541
19,36064510,2020-02-11,-1.0923435040919074,0,11,0.013774104683195593,0.12643678160919541
20,36018542,2020-04-06,-1.103645320128572,0,11,0.014462809917355372,0.12643678160919541
21,36141161,2020-05-20,-1.1193581269765707,0,11,0.015151515151515152,0.12643678160919541
22,38115528,2020-01-08,-1.120460548182799,0,11,0.01584022038567493,0.12643678160919541
23,44433025,2020-02-28,-1.1280050327461153,0,11,0.01652892561983471,0.12643678160919541
24,49524683,2020-03-24,-1.128676062971135,0,11,0.01721763085399449,0.12643678160919541
25,44985243,2020-06-04,-1.1529434976054844,0,11,0.01790633608815427,0.12643678160919541
