,Unique,datestamp,Score,Label,Sum,X_coordinates,y_coordinates
0,36265209,2019-12-31,1.2439150466449176,1,1,0.0006775067750677507,0.0021551724137931034
1,49072400,2020-01-24,1.2117106140991996,1,2,0.0013550135501355014,0.004310344827586207
2,36006587,2020-03-23,1.2066999992785352,1,3,0.0020325203252032522,0.00646551724137931
3,36321564,2020-03-24,1.1575244317524158,1,4,0.0027100271002710027,0.008620689655172414
4,36254281,2020-01-07,1.1454865994862524,1,5,0.0033875338753387536,0.010775862068965518
5,38717532,2020-03-06,1.1399940709692555,1,6,0.0040650406504065045,0.01293103448275862
6,36076185,2019-11-22,1.109834966816086,1,7,0.0047425474254742545,0.015086206896551725
7,48202997,2020-04-06,0.9625202881513707,1,8,0.005420054200542005,0.017241379310344827
8,36022205,2020-03-30,0.9469039680514041,1,9,0.006097560975609756,0.01939655172413793
9,37266100,2020-03-16,0.9426669280125203,1,10,0.006775067750677507,0.021551724137931036
10,48259646,2020-06-02,0.9262157369992323,1,11,0.007452574525745257,0.023706896551724137
11,40049216,2020-05-18,0.9057686034385775,1,12,0.008130081300813009,0.02586206896551724
12,36113695,2020-03-31,0.8947632178704356,0,12,0.008807588075880758,0.02586206896551724
13,36021186,2020-05-28,0.8923239181107211,1,13,0.009485094850948509,0.028017241379310345
14,36136558,2020-03-30,0.8270306345707532,0,13,0.01016260162601626,0.028017241379310345
15,48102908,2020-03-16,0.8239025586026658,1,14,0.01084010840108401,0.03017241379310345
16,42421775,2020-03-31,0.8165445446178444,1,15,0.011517615176151762,0.032327586206896554
17,36078959,2020-03-24,0.8081166401793044,1,16,0.012195121951219513,0.034482758620689655
18,36153023,2020-03-18,0.7944124828078237,1,17,0.012872628726287264,0.036637931034482756
19,47977756,2020-04-20,0.765728029427077,1,18,0.013550135501355014,0.03879310344827586
20,38296324,2020-01-09,0.7653745566574726,1,19,0.014227642276422764,0.040948275862068964
21,36024802,2020-04-28,0.7600069324109393,1,20,0.014905149051490514,0.04310344827586207
22,36064510,2020-02-11,0.7494058343140109,1,21,0.015582655826558265,0.04525862068965517
23,36141161,2020-05-20,0.7377729393213159,1,22,0.016260162601626018,0.04741379310344827
24,36141405,2020-05-20,0.7236365574143814,1,23,0.016937669376693765,0.04956896551724138
25,36458616,2020-06-01,0.698135178266482,1,24,0.017615176151761516,0.05172413793103448
26,36440229,2019-11-15,0.6951156117623556,1,25,0.018292682926829267,0.05387931034482758
27,36020142,2020-03-30,0.682717135962544,1,26,0.018970189701897018,0.05603448275862069
28,48591522,2020-03-02,0.6815251615243864,1,27,0.01964769647696477,0.05818965517241379
29,48507511,2020-05-06,0.6710645163817123,1,28,0.02032520325203252,0.0603448275862069
30,45835842,2020-02-04,0.6629926847655943,0,28,0.02100271002710027,0.0603448275862069
31,36214466,2020-05-04,0.6623045314493652,1,29,0.02168021680216802,0.0625
32,45910887,2020-03-20,0.6538583225814112,1,30,0.022357723577235773,0.06465517241379311
33,36141264,2020-05-21,0.6433758104653949,0,30,0.023035230352303523,0.06465517241379311
34,36057409,2020-05-19,0.6298542515920758,1,31,0.023712737127371274,0.0668103448275862
35,48487362,2020-05-12,0.6066555748286663,0,31,0.024390243902439025,0.0668103448275862
36,36020075,2019-11-04,0.5879709439050864,0,31,0.025067750677506776,0.0668103448275862
37,48524365,2020-05-19,0.5845482390523031,1,32,0.025745257452574527,0.06896551724137931
38,45910873,2020-03-18,0.5797341651071958,0,32,0.026422764227642278,0.06896551724137931
39,45711581,2020-06-01,0.5757247600084383,1,33,0.02710027100271003,0.07112068965517242
40,36045347,2020-01-02,0.5581422336889796,1,34,0.027777777777777776,0.07327586206896551
41,36149589,2020-06-03,0.5563157395615292,0,34,0.028455284552845527,0.07327586206896551
42,44269490,2020-03-20,0.5355329605390696,0,34,0.029132791327913278,0.07327586206896551
43,36963616,2020-02-07,0.5342254851187829,0,34,0.02981029810298103,0.07327586206896551
44,36017684,2020-03-12,0.5267236549306866,1,35,0.03048780487804878,0.07543103448275862
45,36310722,2020-05-07,0.5217128492262589,1,36,0.03116531165311653,0.07758620689655173
46,37024871,2020-04-21,0.5138969667298414,1,37,0.03184281842818428,0.07974137931034483
47,46914107,2019-12-31,0.5128797432920286,1,38,0.032520325203252036,0.08189655172413793
48,36060731,2020-05-28,0.5045120935680252,1,39,0.03319783197831978,0.08405172413793104
49,38414377,2020-05-15,0.5027615874744142,1,40,0.03387533875338753,0.08620689655172414
50,36132978,2019-12-24,0.5003899099991708,1,41,0.034552845528455285,0.08836206896551724
51,36132936,2020-04-01,0.49821963761905314,1,42,0.03523035230352303,0.09051724137931035
52,36313347,2020-05-26,0.48962594643827373,0,42,0.03590785907859079,0.09051724137931035
53,37276857,2020-02-11,0.48483022865000597,1,43,0.036585365853658534,0.09267241379310345
