,Unique,datestamp,Score,Label,Sum,X_coordinates,y_coordinates
0,49203334,2020-05-28,-0.29272945328397065,0,0,0.0006887052341597796,0.0
1,36195114,2020-03-25,-0.6328618406550034,1,1,0.0013774104683195593,0.022727272727272728
2,37335585,2020-05-04,-0.7926407511090994,1,2,0.002066115702479339,0.045454545454545456
3,48866453,2020-01-23,-1.042284142489249,0,2,0.0027548209366391185,0.045454545454545456
4,49201751,2020-01-13,-1.0462373077456997,0,2,0.003443526170798898,0.045454545454545456
5,47702382,2020-04-17,-1.070881864081436,1,3,0.004132231404958678,0.06818181818181818
6,36440229,2019-11-15,-1.0826253292242338,1,4,0.0048209366391184574,0.09090909090909091
7,50678357,2020-01-07,-1.1085557806709705,0,4,0.005509641873278237,0.09090909090909091
8,38125397,2020-04-30,-1.1385201183677094,1,5,0.006198347107438017,0.11363636363636363
9,48245343,2020-05-28,-1.1385201183677094,0,5,0.006887052341597796,0.11363636363636363
10,37581543,2020-01-20,-1.1481038870815699,1,6,0.007575757575757576,0.13636363636363635
11,48214807,2020-05-28,-1.1619892470623403,0,6,0.008264462809917356,0.13636363636363635
12,36310722,2020-05-07,-1.1643599282085606,0,6,0.008953168044077135,0.13636363636363635
13,36055757,2020-05-19,-1.186042720456962,0,6,0.009641873278236915,0.13636363636363635
14,49563344,2019-12-13,-1.196933393707738,1,7,0.010330578512396695,0.1590909090909091
15,36018542,2020-04-06,-1.2329407786166338,1,8,0.011019283746556474,0.18181818181818182
16,36392443,2020-02-03,-1.3074163446395501,0,8,0.011707988980716254,0.18181818181818182
17,36313347,2020-05-26,-1.3105589319308273,0,8,0.012396694214876033,0.18181818181818182
18,36141161,2020-05-20,-1.3105589319308273,0,8,0.013085399449035813,0.18181818181818182
19,36141268,2020-05-28,-1.3105589319308273,0,8,0.013774104683195593,0.18181818181818182
20,44326557,2020-02-24,-1.320160226010165,1,9,0.014462809917355372,0.20454545454545456
21,47008606,2020-04-22,-1.343287711278937,1,10,0.015151515151515152,0.22727272727272727
22,48524365,2020-05-19,-1.3476238510040235,0,10,0.01584022038567493,0.22727272727272727
23,40049216,2020-05-18,-1.3476238510040235,0,10,0.01652892561983471,0.22727272727272727
24,48574968,2019-12-16,-1.3537861632481067,0,10,0.01721763085399449,0.22727272727272727
25,36057409,2020-05-19,-1.3703036851425188,0,10,0.01790633608815427,0.22727272727272727
26,40043969,2020-05-15,-1.4448280231912416,1,11,0.01859504132231405,0.25
27,48084854,2020-04-10,-1.461467249712288,1,12,0.01928374655647383,0.2727272727272727
28,38106432,2020-02-04,-1.481622706532354,0,12,0.01997245179063361,0.2727272727272727
29,36132978,2019-12-24,-1.498873275806714,1,13,0.02066115702479339,0.29545454545454547
30,36392042,2019-12-30,-1.5024184672245233,0,13,0.02134986225895317,0.29545454545454547
31,42879936,2020-02-03,-1.5483541282693998,1,14,0.02203856749311295,0.3181818181818182
32,39144861,2020-05-12,-1.5577201687665876,1,15,0.022727272727272728,0.3409090909090909
33,46976575,2020-04-17,-1.5617382422945654,0,15,0.023415977961432508,0.3409090909090909
34,36066223,2020-01-13,-1.5921114392701734,0,15,0.024104683195592287,0.3409090909090909
35,36066226,2020-01-15,-1.5921114392701734,0,15,0.024793388429752067,0.3409090909090909
36,36033495,2019-10-08,-1.6020438090607463,0,15,0.025482093663911846,0.3409090909090909
37,36440962,2020-05-15,-1.648099566654097,0,15,0.026170798898071626,0.3409090909090909
38,44534992,2020-05-28,-1.6642107758303584,0,15,0.026859504132231406,0.3409090909090909
39,36405483,2020-02-07,-1.6907755976059555,1,16,0.027548209366391185,0.36363636363636365
40,36014349,2020-02-11,-1.6944192613209843,1,17,0.028236914600550965,0.38636363636363635
41,44441822,2020-03-24,-1.698638983731626,0,17,0.028925619834710745,0.38636363636363635
42,36376322,2020-04-03,-1.700956985558339,1,18,0.029614325068870524,0.4090909090909091
43,48568706,2020-04-15,-1.702512607653936,1,19,0.030303030303030304,0.4318181818181818
44,36540765,2020-05-28,-1.713524917872942,0,19,0.030991735537190084,0.4318181818181818
45,39339487,2020-05-26,-1.713524917872942,0,19,0.03168044077134986,0.4318181818181818
46,49169716,2020-02-14,-1.73584528984786,0,19,0.03236914600550964,0.4318181818181818
47,38260435,2020-05-26,-1.7358700172378847,0,19,0.03305785123966942,0.4318181818181818
48,41678455,2020-03-24,-1.8252621265858398,0,19,0.0337465564738292,0.4318181818181818
49,48964869,2019-12-18,-1.827125915828509,0,19,0.03443526170798898,0.4318181818181818
50,38586510,2020-04-24,-1.8492531873245728,0,19,0.03512396694214876,0.4318181818181818
51,36073571,2020-04-10,-1.8539815091897065,0,19,0.03581267217630854,0.4318181818181818
52,36461123,2020-01-08,-1.8675446062864356,0,19,0.03650137741046832,0.4318181818181818
53,36963616,2020-02-07,-1.8746485179177559,0,19,0.0371900826446281,0.4318181818181818
54,45148347,2020-05-15,-1.8746485179177559,1,20,0.03787878787878788,0.45454545454545453
55,36140220,2020-01-08,-1.8850863219089364,0,20,0.03856749311294766,0.45454545454545453
56,49524683,2020-03-24,-1.9002831333363728,0,20,0.03925619834710744,0.45454545454545453
57,36429595,2020-05-18,-1.9052413147084977,0,20,0.03994490358126722,0.45454545454545453
58,38129013,2020-05-26,-1.9052413147084977,0,20,0.040633608815427,0.45454545454545453
59,36069997,2020-03-18,-1.9294099622030934,0,20,0.04132231404958678,0.45454545454545453
60,36991008,2019-12-31,-1.940248706785693,0,20,0.04201101928374656,0.45454545454545453
61,38129751,2020-05-27,-1.956650014746829,0,20,0.04269972451790634,0.45454545454545453
62,36828499,2020-04-29,-1.9583126690628578,1,21,0.04338842975206612,0.4772727272727273
63,36901700,2020-04-23,-1.9801920775549764,0,21,0.0440771349862259,0.4772727272727273
64,38115528,2020-01-08,-1.999409312790877,0,21,0.044765840220385676,0.4772727272727273
65,37064811,2020-03-30,-2.0061798726692834,0,21,0.045454545454545456,0.4772727272727273
66,46914124,2020-06-01,-2.0124066467631327,1,22,0.046143250688705235,0.5
67,49031574,2020-05-19,-2.012736744093968,0,22,0.046831955922865015,0.5
68,42669431,2020-05-11,-2.012736744093968,0,22,0.047520661157024795,0.5
69,36400545,2020-01-07,-2.030727226654554,1,23,0.048209366391184574,0.5227272727272727
70,36219959,2020-02-21,-2.0314388748022365,0,23,0.048898071625344354,0.5227272727272727
71,36057673,2020-03-26,-2.0314388748022365,0,23,0.049586776859504134,0.5227272727272727
72,37071914,2020-05-21,-2.0321862886154114,0,23,0.05027548209366391,0.5227272727272727
73,48214791,2020-05-27,-2.065453922939892,1,24,0.05096418732782369,0.5454545454545454
74,48264260,2020-05-28,-2.065453922939892,0,24,0.05165289256198347,0.5454545454545454
75,36043052,2020-02-07,-2.075926070758831,0,24,0.05234159779614325,0.5454545454545454
76,37304370,2020-05-11,-2.076404277757229,0,24,0.05303030303030303,0.5454545454545454
77,40694859,2020-05-08,-2.0838459661549114,0,24,0.05371900826446281,0.5454545454545454
78,41833112,2020-03-23,-2.0842676638828994,0,24,0.05440771349862259,0.5454545454545454
79,43973939,2020-01-20,-2.0858939616018293,0,24,0.05509641873278237,0.5454545454545454
80,44259213,2020-06-05,-2.0937573477275,0,24,0.05578512396694215,0.5454545454545454
81,36018547,2020-04-06,-2.0962308252017645,0,24,0.05647382920110193,0.5454545454545454
82,47157902,2020-04-01,-2.1027750473401476,0,24,0.05716253443526171,0.5454545454545454
83,38221676,2020-03-18,-2.1564953220616694,0,24,0.05785123966942149,0.5454545454545454
84,36152052,2019-12-10,-2.1577415517223644,0,24,0.05853994490358127,0.5454545454545454
85,48515125,2020-06-04,-2.1671162387753746,0,24,0.05922865013774105,0.5454545454545454
86,39363964,2020-03-20,-2.178688324131817,0,24,0.05991735537190083,0.5454545454545454
87,36554521,2020-02-03,-2.201445459630856,0,24,0.06060606060606061,0.5454545454545454
88,41976905,2020-05-22,-2.2109630560264533,0,24,0.06129476584022039,0.5454545454545454
89,50763306,2020-05-27,-2.215117047863008,0,24,0.06198347107438017,0.5454545454545454
90,38517526,2020-06-01,-2.2342738125087704,0,24,0.06267217630853994,0.5454545454545454
91,48761014,2020-05-20,-2.2342738125087704,0,24,0.06336088154269973,0.5454545454545454
92,50767048,2020-06-01,-2.2342738125087704,0,24,0.0640495867768595,0.5454545454545454
93,48006684,2020-05-19,-2.2602771980690206,0,24,0.06473829201101929,0.5454545454545454
94,36477199,2020-05-21,-2.2602771980690206,0,24,0.06542699724517906,0.5454545454545454
95,49575715,2020-03-26,-2.2602771980690206,0,24,0.06611570247933884,0.5454545454545454
96,46351443,2020-04-20,-2.278784581526269,0,24,0.06680440771349862,0.5454545454545454
97,47702374,2020-04-16,-2.278784581526269,0,24,0.0674931129476584,0.5454545454545454
98,47110509,2019-08-13,-2.280717236730958,0,24,0.06818181818181818,0.5454545454545454
99,48347557,2020-01-02,-2.280717236730958,0,24,0.06887052341597796,0.5454545454545454
100,44838298,2020-03-03,-2.288580622856629,0,24,0.06955922865013774,0.5454545454545454
101,42598311,2020-02-07,-2.2892515677341208,1,25,0.07024793388429752,0.5681818181818182
102,47355854,2020-02-07,-2.2910541003308933,0,25,0.0709366391184573,0.5681818181818182
103,44635249,2020-06-03,-2.2998740013767205,0,25,0.07162534435261708,0.5681818181818182
104,49714788,2020-06-04,-2.300540640053719,0,25,0.07231404958677685,0.5681818181818182
105,36971187,2020-01-13,-2.3257919017000512,0,25,0.07300275482093664,0.5681818181818182
106,45880311,2020-05-27,-2.333124328083633,0,25,0.07369146005509641,0.5681818181818182
107,46329508,2019-12-20,-2.3334344155768814,0,25,0.0743801652892562,0.5681818181818182
108,49075445,2020-05-25,-2.344384770394219,0,25,0.07506887052341597,0.5681818181818182
109,44985243,2020-06-04,-2.344384770394219,0,25,0.07575757575757576,0.5681818181818182
110,46291667,2020-03-03,-2.344384770394219,0,25,0.07644628099173553,0.5681818181818182
111,38685229,2020-05-25,-2.344384770394219,0,25,0.07713498622589532,0.5681818181818182
112,49332187,2020-01-07,-2.373399989026206,0,25,0.07782369146005509,0.5681818181818182
113,49021953,2020-01-29,-2.380210012949125,0,25,0.07851239669421488,0.5681818181818182
114,46900385,2020-05-21,-2.402634737820812,1,26,0.07920110192837465,0.5909090909090909
115,44179172,2020-04-07,-2.424475814698659,0,26,0.07988980716253444,0.5909090909090909
116,47121747,2019-11-29,-2.445888026334481,0,26,0.08057851239669421,0.5909090909090909
117,47912476,2020-05-27,-2.4459118020106976,0,26,0.081267217630854,0.5909090909090909
118,50767063,2020-06-01,-2.4650447909802433,0,26,0.08195592286501377,0.5909090909090909
119,42487967,2020-01-27,-2.474215226798306,0,26,0.08264462809917356,0.5909090909090909
120,42927502,2020-03-20,-2.4789197729872265,0,26,0.08333333333333333,0.5909090909090909
121,49208634,2019-12-17,-2.4789435486634432,0,26,0.08402203856749312,0.5909090909090909
122,36467819,2020-01-20,-2.4837469216885117,0,26,0.08471074380165289,0.5909090909090909
123,49164165,2020-01-30,-2.491145833140528,0,26,0.08539944903581267,0.5909090909090909
