,Unique,datestamp,Score,Label,Sum,X_coordinates,y_coordinates
0,38125398,2020-05-15,0.7075234828574236,1,1,0.0006747638326585695,0.012987012987012988
1,47714323,2020-06-03,0.6348546459284676,0,1,0.001349527665317139,0.012987012987012988
2,36009291,2020-03-10,0.4331734111258963,1,2,0.0020242914979757085,0.025974025974025976
3,36608753,2020-01-26,0.30322320323222224,1,3,0.002699055330634278,0.03896103896103896
4,37797420,2020-04-16,0.2975002112864037,1,4,0.0033738191632928477,0.05194805194805195
5,37543079,2020-01-31,0.2508940441752419,1,5,0.004048582995951417,0.06493506493506493
6,36284301,2020-01-31,0.17825647709665526,1,6,0.004723346828609987,0.07792207792207792
7,36239854,2020-06-05,0.15920958869521382,1,7,0.005398110661268556,0.09090909090909091
8,43734176,2020-03-07,0.12646893722075334,1,8,0.006072874493927126,0.1038961038961039
9,38123707,2020-02-04,0.06664924216619901,0,8,0.006747638326585695,0.1038961038961039
10,36014242,2020-05-03,-0.012173810230670096,1,9,0.007422402159244264,0.11688311688311688
11,49203334,2020-05-28,-0.04735992399512039,0,9,0.008097165991902834,0.11688311688311688
12,36536524,2020-05-25,-0.04735992399512039,1,10,0.008771929824561403,0.12987012987012986
13,36020307,2020-01-06,-0.10238463885412374,1,11,0.009446693657219974,0.14285714285714285
14,36195114,2020-03-25,-0.166386237057849,1,12,0.010121457489878543,0.15584415584415584
15,47702382,2020-04-17,-0.21773055548136402,1,13,0.010796221322537112,0.16883116883116883
16,48866453,2020-01-23,-0.22701715825939114,0,13,0.011470985155195682,0.16883116883116883
17,48912788,2020-02-06,-0.26872526073930947,1,14,0.012145748987854251,0.18181818181818182
18,37361806,2020-02-20,-0.3495031329319762,1,15,0.01282051282051282,0.19480519480519481
19,37335585,2020-05-04,-0.3495031329319762,1,16,0.01349527665317139,0.2077922077922078
20,45054109,2020-01-21,-0.3569673661530624,1,17,0.01417004048582996,0.22077922077922077
21,36034119,2020-04-25,-0.37744737233066933,1,18,0.014844804318488529,0.23376623376623376
22,46976575,2020-04-17,-0.44879949397291774,0,18,0.0155195681511471,0.23376623376623376
23,43068656,2020-03-09,-0.4626190130224607,1,19,0.016194331983805668,0.24675324675324675
24,36018542,2020-04-06,-0.47575583979574815,1,20,0.016869095816464237,0.2597402597402597
25,36016634,2020-04-02,-0.47575583979574815,1,21,0.017543859649122806,0.2727272727272727
26,36006870,2020-05-17,-0.48304206359861335,1,22,0.018218623481781375,0.2857142857142857
27,36016977,2020-05-04,-0.4960983912637116,1,23,0.018893387314439947,0.2987012987012987
28,42448614,2020-04-23,-0.5052083011606144,1,24,0.019568151147098516,0.3116883116883117
29,37071914,2020-05-21,-0.512026861328147,0,24,0.020242914979757085,0.3116883116883117
30,36055757,2020-05-19,-0.5166841830023707,0,24,0.020917678812415654,0.3116883116883117
31,36755062,2020-05-26,-0.518963062534276,0,24,0.021592442645074223,0.3116883116883117
32,37581543,2020-01-20,-0.519148857122963,1,25,0.022267206477732792,0.3246753246753247
33,48111872,2020-03-08,-0.55839228548229,1,26,0.022941970310391364,0.33766233766233766
34,48084854,2020-04-10,-0.55839228548229,1,27,0.023616734143049933,0.35064935064935066
35,50678357,2020-01-07,-0.55839228548229,0,27,0.024291497975708502,0.35064935064935066
36,38055459,2020-04-03,-0.55839228548229,0,27,0.02496626180836707,0.35064935064935066
37,42211521,2020-03-16,-0.5703136524120234,1,28,0.02564102564102564,0.36363636363636365
38,36075876,2019-12-24,-0.5709416273512052,0,28,0.02631578947368421,0.36363636363636365
39,44326557,2020-02-24,-0.6057060476894185,1,29,0.02699055330634278,0.37662337662337664
40,39339487,2020-05-26,-0.6139309236118373,0,29,0.02766531713900135,0.37662337662337664
41,42279172,2020-02-04,-0.6411045054447982,1,30,0.02834008097165992,0.38961038961038963
42,47645353,2020-03-14,-0.646634390896041,1,31,0.029014844804318488,0.4025974025974026
43,36392042,2019-12-30,-0.7009822879231714,0,31,0.029689608636977057,0.4025974025974026
44,36963616,2020-02-07,-0.7038594551243087,0,31,0.030364372469635626,0.4025974025974026
45,36058630,2020-05-13,-0.7049157829770913,0,31,0.0310391363022942,0.4025974025974026
46,49372029,2020-05-06,-0.7072000615118246,1,32,0.03171390013495277,0.4155844155844156
47,44441822,2020-03-24,-0.7216468650327849,0,32,0.032388663967611336,0.4155844155844156
48,36069997,2020-03-18,-0.7370625713379765,0,32,0.033063427800269905,0.4155844155844156
49,38789819,2020-06-03,-0.7745980434949199,0,32,0.033738191632928474,0.4155844155844156
50,49195067,2020-04-30,-0.7779909145445995,1,33,0.03441295546558704,0.42857142857142855
51,49117058,2020-06-01,-0.7779909145445995,1,34,0.03508771929824561,0.44155844155844154
52,36461123,2020-01-08,-0.7897175394471914,0,34,0.03576248313090418,0.44155844155844154
53,45148347,2020-05-15,-0.7900928226717094,1,35,0.03643724696356275,0.45454545454545453
54,36132978,2019-12-24,-0.8168213506606602,1,36,0.037112010796221326,0.4675324675324675
55,36057409,2020-05-19,-0.8484630910892561,0,36,0.037786774628879895,0.4675324675324675
56,36376322,2020-04-03,-0.850594505230519,1,37,0.038461538461538464,0.4805194805194805
57,49201751,2020-01-13,-0.8606086520941808,0,37,0.03913630229419703,0.4805194805194805
58,37336889,2020-02-15,-0.8606086520941808,1,38,0.0398110661268556,0.4935064935064935
59,49228430,2020-04-17,-0.8608836757044843,1,39,0.04048582995951417,0.5064935064935064
60,36554521,2020-02-03,-0.9298358639980677,0,39,0.04116059379217274,0.5064935064935064
61,37303049,2020-04-20,-0.9792596710272247,1,40,0.04183535762483131,0.5194805194805194
62,48006778,2020-05-29,-0.9898313159022187,0,40,0.04251012145748988,0.5194805194805194
63,44534992,2020-05-28,-0.9898313159022187,0,40,0.043184885290148446,0.5194805194805194
64,36022767,2020-01-07,-1.0113138897757696,1,41,0.043859649122807015,0.5324675324675324
65,38125397,2020-04-30,-1.0273487712419929,1,42,0.044534412955465584,0.5454545454545454
66,36062354,2020-01-14,-1.0852011199416634,1,43,0.04520917678812416,0.5584415584415584
67,37387775,2020-02-18,-1.098153930230962,0,43,0.04588394062078273,0.5584415584415584
68,36141161,2020-05-20,-1.1051772325294575,0,43,0.0465587044534413,0.5584415584415584
69,42669431,2020-05-11,-1.1096223572408446,0,43,0.04723346828609987,0.5584415584415584
70,36405483,2020-02-07,-1.1096223572408446,1,44,0.047908232118758436,0.5714285714285714
71,47008606,2020-04-22,-1.125657238707068,1,45,0.048582995951417005,0.5844155844155844
72,48214807,2020-05-28,-1.1346096587151269,0,45,0.049257759784075573,0.5844155844155844
73,36060731,2020-05-28,-1.1381301158322414,0,45,0.04993252361673414,0.5844155844155844
74,38129751,2020-05-27,-1.1505507004474698,0,45,0.05060728744939271,0.5844155844155844
75,36018547,2020-04-06,-1.1505507004474698,0,45,0.05128205128205128,0.5844155844155844
76,36140220,2020-01-08,-1.1511767267328277,0,45,0.05195681511470985,0.5844155844155844
77,36001921,2020-02-12,-1.1837814478008026,1,46,0.05263157894736842,0.5974025974025974
78,36310722,2020-05-07,-1.2082936843936165,0,46,0.053306342780026994,0.5974025974025974
79,48335536,2020-05-25,-1.2224404829996447,0,46,0.05398110661268556,0.5974025974025974
80,47121747,2019-11-29,-1.2488591679125447,0,46,0.05465587044534413,0.5974025974025974
81,47355854,2020-02-07,-1.2488591679125447,0,46,0.0553306342780027,0.5974025974025974
82,36033495,2019-10-08,-1.2488591679125447,0,46,0.05600539811066127,0.5974025974025974
83,36043052,2020-02-07,-1.2561453917154146,0,46,0.05668016194331984,0.5974025974025974
84,48515125,2020-06-04,-1.2561453917154146,0,46,0.05735492577597841,0.5974025974025974
85,50763306,2020-05-27,-1.2623658789075207,0,46,0.058029689608636977,0.5974025974025974
86,40043969,2020-05-15,-1.2771870757743427,1,47,0.058704453441295545,0.6103896103896104
87,45386305,2020-03-24,-1.284347246220591,0,47,0.059379217273954114,0.6103896103896104
88,46926679,2020-03-17,-1.284347246220591,0,47,0.06005398110661268,0.6103896103896104
89,36254281,2020-01-07,-1.2884056224683995,1,48,0.06072874493927125,0.6233766233766234
90,36066223,2020-01-13,-1.2936628470551892,0,48,0.06140350877192982,0.6233766233766234
91,36066226,2020-01-15,-1.2936628470551892,0,48,0.0620782726045884,0.6233766233766234
92,39363964,2020-03-20,-1.3207489504647196,0,48,0.06275303643724696,0.6233766233766234
93,39129526,2020-03-23,-1.3207489504647196,0,48,0.06342780026990553,0.6233766233766234
94,48949700,2020-01-20,-1.3252755894272161,0,48,0.0641025641025641,0.6233766233766234
95,36122077,2020-04-09,-1.3252755894272161,0,48,0.06477732793522267,0.6233766233766234
96,48964869,2019-12-18,-1.3715482639441117,0,48,0.06545209176788123,0.6233766233766234
97,39315279,2020-04-30,-1.3796603032872554,0,48,0.06612685560053981,0.6233766233766234
98,43899401,2020-03-23,-1.3836233638617843,0,48,0.06680161943319839,0.6233766233766234
99,44269490,2020-03-20,-1.3869639702493002,0,48,0.06747638326585695,0.6233766233766234
100,38586510,2020-04-24,-1.3919713145202641,0,48,0.06815114709851552,0.6233766233766234
101,36141268,2020-05-28,-1.3948442572724402,0,48,0.06882591093117409,0.6233766233766234
102,36313347,2020-05-26,-1.3948442572724402,0,48,0.06950067476383266,0.6233766233766234
103,36141264,2020-05-21,-1.3948442572724402,0,48,0.07017543859649122,0.6233766233766234
104,38304659,2020-05-21,-1.4109107123358258,0,48,0.0708502024291498,0.6233766233766234
