,Unique,datestamp,Score,Label,Sum,X_coordinates,y_coordinates
0,38412754,2020-04-24,0.999605,1,1,0.0006887052341597796,0.010638297872340425
1,38250828,2020-01-20,0.9994831,1,2,0.0013774104683195593,0.02127659574468085
2,45789559,2020-05-05,0.9985441,1,3,0.002066115702479339,0.031914893617021274
3,36016685,2020-04-29,0.99794906,1,4,0.0027548209366391185,0.0425531914893617
4,44469554,2020-04-29,0.997929,0,4,0.003443526170798898,0.0425531914893617
5,36479931,2020-02-12,0.99788195,1,5,0.004132231404958678,0.05319148936170213
6,49277660,2020-04-10,0.99728036,0,5,0.0048209366391184574,0.05319148936170213
7,36021186,2020-05-28,0.997189,1,6,0.005509641873278237,0.06382978723404255
8,36407961,2020-05-04,0.9969125,1,7,0.006198347107438017,0.07446808510638298
9,36458512,2020-05-08,0.9962936,1,8,0.006887052341597796,0.0851063829787234
10,49341151,2020-04-27,0.99623966,1,9,0.007575757575757576,0.09574468085106383
11,41263165,2020-06-04,0.9956281,0,9,0.008264462809917356,0.09574468085106383
12,44996563,2020-05-07,0.9949822,0,9,0.008953168044077135,0.09574468085106383
13,36983292,2020-04-29,0.99463046,0,9,0.009641873278236915,0.09574468085106383
14,36034286,2020-03-30,0.9942053,0,9,0.010330578512396695,0.09574468085106383
15,45324692,2020-06-05,0.9936925,0,9,0.011019283746556474,0.09574468085106383
16,36052139,2020-04-21,0.993012,1,10,0.011707988980716254,0.10638297872340426
17,36987361,2020-03-23,0.9919205,0,10,0.012396694214876033,0.10638297872340426
18,44441822,2020-03-24,0.99033326,0,10,0.013085399449035813,0.10638297872340426
19,48568267,2019-11-20,0.98871595,0,10,0.013774104683195593,0.10638297872340426
20,38206756,2020-03-12,0.98737156,0,10,0.014462809917355372,0.10638297872340426
21,36152052,2019-12-10,0.98711085,0,10,0.015151515151515152,0.10638297872340426
22,45852333,2020-05-15,0.9856125,0,10,0.01584022038567493,0.10638297872340426
23,36030971,2020-04-22,0.98280346,0,10,0.01652892561983471,0.10638297872340426
24,48909911,2020-04-27,0.9827697,0,10,0.01721763085399449,0.10638297872340426
25,36065750,2020-04-28,0.980474,0,10,0.01790633608815427,0.10638297872340426
26,49227185,2020-05-26,0.9794287,0,10,0.01859504132231405,0.10638297872340426
27,39212646,2020-03-31,0.9791738,1,11,0.01928374655647383,0.11702127659574468
28,36033495,2019-10-08,0.978122,0,11,0.01997245179063361,0.11702127659574468
29,38106432,2020-02-04,0.9776674,0,11,0.02066115702479339,0.11702127659574468
